stage,Endothelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,8.56,0,0,0
21Day,0,0,1.34,0,0,0,2.68,1.34,0,0
3Month,0.32,0.96,0,0,0,0.32,22.72,0.32,0.32,0.96
22Month,0,1.64,0,0,0.55,0,15.85,0,0,0.55
