stage,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,3.21,0,0,0,0,1.07,0,0,0,0,102.7,5.35,1.07,0,1.07,0,1.07,0
21Day,0,1.34,0,0,0,1.34,0,4.02,0,0,20.08,5.35,0,0,0,0,0,0
3Month,0,0,0,0,0.32,0,0,0.32,0.64,0.32,0.96,0,0,0,0,1.28,0,1.28
22Month,0,0,1.64,3.83,0,0,0.55,0.55,0,0,0,0,0,0.55,0,0,0,0
