stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,32.69,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,0,0,0,0
72hpf,16.05,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,3.21,0,0,0,0
21Day,8.03,0,0,0,5.35,0,0,1.34,0,1.34,5.35,0,0,0,4.02,0,0,1.34
3Month,2.56,0.32,0,0.32,4.8,1.92,0.96,0.32,0.32,0.96,0.64,0,0,0,0,0.32,0.64,0.96
22Month,2.19,0.55,0,0,2.73,9.84,1.09,0.55,0,0.55,0,0.55,0,0,0,0,0,0.55
