stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,106.25,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.14,3.21,2.14,2.14,0,0,1.07,1.07,1.07,0,0,0
21Day,0,0,0,4.02,2.68,0,0,0,0,0,0,1.34,0,0,1.34,37.48,4.02,2.68,1.34,2.68,0,1.34,1.34,0,0,0,0
3Month,0,0.32,2.88,0,0,0.32,0,0,1.28,0.96,0.32,0.96,0.64,0.64,0,0,0,1.6,0,0.32,8.64,0,0,0,0.64,0.32,0.96
22Month,0,0,0,0,0,0.55,1.09,0.55,6.01,0,0,1.64,0,0,1.09,0,0,3.28,0.55,0,0,0,0,0,0,0,0
