stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.23,1.07,0,0,0,0,0,0,6.42,0,0,0
21Day,0,1.34,1.34,0,0,0,0,1.34,2.68,2.68,1.34,1.34,4.02,0,0,0,0,44.17,2.68,1.34,2.68,2.68,0,1.34,1.34,9.37,0,0,1.34
3Month,0.32,3.2,0,0,0.32,1.6,0,2.88,0.64,0.32,0,1.92,1.6,1.28,0.32,1.28,39.03,2.56,0,1.92,0,0,2.24,0,0,0.96,0.32,0.32,5.12
22Month,0,0,0,0.55,0,0,1.64,4.92,0,1.09,0,0,2.73,0,0,0,0.55,1.09,0,0,0.55,0,1.09,0,0,0,0,0,2.73
