stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0
72hpf,1.07,3.21,0,0,0,0,2.14,1.07,0,1.07,0,0,0,0,0
21Day,0,5.35,1.34,0,0,0,0,2.68,0,0,0,1.34,0,0,0
3Month,0,0.64,0,0,0.32,0.32,0,0.96,0.32,0,0.32,0,0.32,0.32,0.32
22Month,0,0,0,1.09,5.47,2.19,0,0,0,0,0,0,0,0,0
