stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,1.07,1.07,0,0
21Day,2.68,0,0,0,0,0,1.34,0,4.02,4.02,0,4.02,1.34,0,0,4.02,22.76,0,0
3Month,4.16,0.64,1.28,0.64,0.64,0.64,8,1.28,0.96,0,0.64,0,0,1.92,0,0,0,0.96,0.32
22Month,0.55,0,3.83,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0
