stage,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
72hpf,0,0,1.07,0,0,7.49,4.28,0
21Day,1.34,1.34,0,1.34,1.34,0,0,0
3Month,0.64,0,0,2.24,0,0,0,0.64
