stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,44.95,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,1.07,0,0,0,12.84,0,0,2.14,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,2.68,0,0
3Month,0.64,0.96,0,0.32,0.32,0,0,0.32,0.32,0.32,0,0,0.32,0,23.68,0,0.64
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0
