stage,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
72hpf,0,0,0,0,1.07,0,0
21Day,2.68,1.34,0,8.03,0,1.34,0
22Month,0,0,7.65,0,0,0,0.55
