stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,0,12.26,0,0,0,0,28.6,486.28,0,0,8.17,0,0,0,0,0,8.17,0,0
72hpf,11.77,0,10.7,10.7,11.77,1.07,0,0,0,0,0,0,0,1.07,0,4.28,21.4,1.07,13.91,0,3.21,0,1.07,1466.68,140.14,1.07,10.7,28.88,0,1.07,16.05,2.14,1.07,2.14,0,0
21Day,5.35,0,8.03,1.34,9.37,0,0,0,1.34,0,0,1.34,0,2.68,0,0,9.37,1.34,22.76,0,0,1.34,0,515.34,53.54,0,2.68,2.68,17.4,1.34,9.37,4.02,0,2.68,0,0
3Month,0.32,1.92,16.96,0.32,0,0,3.52,0.64,0.96,0,0,2.56,0.64,0.32,2.24,1.28,1.6,1.92,13.12,2.88,0,1.28,0,11.52,2.24,4.48,1.92,0,0.96,22.72,0,0,0,1.92,1.28,0.96
22Month,0,1.09,4.37,0.55,0,0,0,0,1.64,0.55,0,6.01,0,0.55,1.09,0,0,0.55,1.64,0.55,0,0,0,13.12,0,12.03,0.55,0,0,31.16,6.01,0,0,0,0,0
