stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,3.21,0,17.12,2.14,1.07,0,0,2.14,1.07,0,0,0
21Day,2.68,0,0,1.34,0,1.34,1.34,0,0,0,2.68,1.34,6.69,0,13.39,6.69,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0,0.32,0,0,0.32,1.28,0.32,0.64,0,0.32,0.64,0,0.32,0,0,0,0.64,0,0,0.32,0.32,0.32
22Month,0,0,0.55,0.55,0,0,0,2.19,0,0,0,0,0.55,0.55,0,0,0,0,0.55,0,0,0,0,0
