stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,2.68,0,0,0,0,0,0,0,10.71,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,16.06
3Month,0.64,0,6.72,0,1.6,0.64,0.64,2.24,0,6.72,1.92,1.6,2.56,0.32,2.56,1.92,0.96,0,0.64,0.32,0.64,0,0,0.64,7.04,0,0.64,8,95.34
22Month,0.55,2.19,3.83,0,0.55,1.09,0.55,2.73,1.64,85.82,1.64,3.83,12.03,0,4.37,10.93,0.55,2.73,0.55,0,0,0.55,0.55,0.55,0.55,0,0,0,20.23
