stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.64,0.32,0.32,0.32,1.28,0.96,1.6,0.96,26.88,0.32,0.32,0.32,0.64,0.32,0.64
22Month,0,0,0,0,0,0,2.73,0,0,1.09,0,0,0.55,0,0,0.55
