stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,69.47,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,20.43,0,0,0,0,0,0,0,32.69,0,0,0
72hpf,42.79,142.28,0,4.28,2.14,0,0,0,0,0,0,0,0,0,1.07,4.28,0,66.33,0,0,2.14,3.21,24.61,25.67,0,0,48.14,0,0,0,0,42.79,0,0,0
21Day,26.77,50.86,0,34.8,6.69,0,0,0,0,0,1.34,0,0,0,1.34,5.35,4.02,32.12,0,0,13.39,0,4.02,12.05,0,1.34,12.05,4.02,0,1.34,1.34,2.68,0,0,0
3Month,2.56,153.9,0.64,108.78,0,0.32,0,0.96,3.2,0.32,7.36,2.56,0,3.84,1.28,34.87,5.44,60.15,9.28,0,33.91,1.92,0.96,0,1.6,0,21.76,4.48,11.84,0,0,0.32,11.84,14.08,1.92
22Month,0,130.1,0,57.95,0,0,0.55,0.55,2.19,1.09,14.76,3.28,1.09,2.73,1.64,5.47,3.83,15.31,0,1.09,8.2,0.55,0,0,2.73,1.09,6.56,0,5.47,0.55,0,0,3.28,0,0.55
