stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0.96,8,1.28,1.92,14.4,2.56,0.32,6.4,0.64,0.96,2.88,3.2,0.32,0.32,1.6,0.96,1.28,0.32,0.96,1.28,0,0.96,60.15,0.32,0.32,917.29,3.52
22Month,0.55,0,1.64,0,0,21.32,0,0.55,1.64,0,0.55,0,0.55,0,0.55,0,0,0,0,0,0.55,15.31,0,110.97,0.55,0,6.01,0.55
