stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,4.09,0,0,0,0,4.09,4.09,0,20.43,0,0
72hpf,0,0,0,1.07,0,0,3.21,3.21,8.56,2.14,1.07
21Day,1.34,0,2.68,0,2.68,2.68,2.68,0,1.34,5.35,0
22Month,0,1.09,0.55,0,0,0,0,0,0,0,0
