stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,40.86,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,6.42,0,18.19,2.14,0,0,0,0,0,0,0,0,0,1.07,0,3.21,26.74,1.07,6.42,0,1.07,0,0,7.49,5.35,0,0,0,34.23,0,0,1.07,2.14,0,0,0
21Day,1.34,0,0,54.88,0,1.34,0,0,0,0,0,0,2.68,0,0,0,6.69,25.43,2.68,13.39,0,0,2.68,0,2.68,1.34,0,0,0,21.42,5.35,1.34,0,0,0,0,0
3Month,0.64,28.48,0.32,93.75,1.28,0,0.64,0.32,0.32,2.88,0,0,29.12,1.92,0,2.88,3.84,26.24,16,39.67,12.16,0.64,4.48,0.96,0.32,0,4.16,0,0,16.96,1.6,10.88,0,0.32,5.12,3.2,1.6
22Month,0,32.25,0.55,21.87,1.09,0,0.55,0.55,1.09,2.19,1.09,0,83.64,1.09,0.55,2.19,3.28,5.47,7.11,35.53,0,2.19,3.83,0,0.55,0.55,3.28,0.55,0.55,6.56,0,4.37,0,0.55,1.64,0,1.09
