stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,1.07,0,0,0,2.14,2.14,0,2.14,0,0,4.28,5.35,0,0,2.14,0,9.63,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,1.34,2.68,0,2.68,2.68,5.35,0,0,0,0,5.35,0,5.35,0,0
3Month,2.56,0.32,1.28,0,0.32,2.24,0.32,0.32,0,0,0.64,0.32,0,0,0,0.32,0.32,0,1.92,0.32,0,0,0,1.92
22Month,0.55,0,0.55,0,1.09,6.01,1.09,0,0.55,2.19,0.55,0,0.55,0,0,0.55,0,0,0,0,0.55,0,1.64,0
