stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.84,7.49,1.07,0,4.28,0,0,0,0
21Day,0,0,1.34,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34,0,14.72,0,0,0,1.34,8.03,0,0,0
3Month,0,0.64,1.28,0,0.32,0.32,0.64,0.96,0.32,0.96,0.64,0,0.96,1.92,0.64,0.32,0,0,19.52,0.96,0,0.32,7.04,0.32
22Month,0,0.55,1.09,0,0,0,0.55,1.64,0,0,0,0,0,3.28,0,1.09,0,0,4.92,0.55,0,0,0,0
