stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,3.21,0,0,0,0,1.07,1.07,0,0,0,0
21Day,0,6.69,1.34,0,0,0,0,0,1.34,0,5.35,0,1.34,0,0,0,0,0,0,0,0
3Month,0,13.12,0,0,1.92,0.64,3.2,1.92,0,5.76,0.96,0.32,1.28,0.64,0.64,0.32,0,0,0,0.32,0.64
22Month,0.55,0.55,0,0.55,0,2.73,4.92,1.09,0.55,1.09,0,0.55,1.09,0,0,0,0,1.09,0,0,0
