stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,306.48,4.09,4.09,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,39.58,20.33,0,1.07,0,0,0,0,2.14,2.14,0,0,0,1.07,0,1.07,0,0,0
21Day,0,18.74,0,4.02,0,1.34,0,0,0,1.34,0,1.34,1.34,87,10.71,0,4.02,0,0,0,0,5.35,5.35,0,0,4.02,0,0,0,0,0,0
3Month,0,10.56,1.6,0,0.32,0,1.28,2.24,0,7.68,1.92,0,3.52,85.43,1.92,1.92,3.2,0.32,0.64,1.6,0.32,0,0.32,0.32,0.32,0,0,8.32,0,0.64,0.96,2.56
22Month,1.09,32.25,0,0,0,0,0,0.55,0.55,3.83,0,0,0.55,57.95,0.55,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
