stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,4.09,12.26,0,0,0,0,0,0,12.26,4.09,57.21,0,0,4.09,0,0
72hpf,2.14,1.07,0,0,0,0,0,0,0,1.07,7.49,0,0,1.07,0,0
21Day,0,0,2.68,0,0,1.34,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0,1.6,0,0,0.64,0,0.96,0,0.32,0,0,0,0,0,0.32,0.64
22Month,0,0,0,1.09,0,0,0.55,0.55,1.64,0,0,0.55,0.55,0,0,0
