stage,Cardiomyocyte,Endothelial_cell,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,1.07,5.35,6.42,3.21
21Day,1.34,0,0,0,0,2.68,0
3Month,0,0,0.64,0,0,0,0
