stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Nephron_cell,Primordial_germ_cell
72hpf,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0
3Month,0,0.96,0,0,0,0.32,0.32,0.32
22Month,0,9.84,5.47,0.55,0,0,0,0.55
