stage,Epithelial_cell,Granulocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0
3Month,0,0.64,0.32,0.64,0,6.08,0.32,0.64
