stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,5.35,0,0,0,0,0,0,3.21,1.07,0,1.07,0,0,32.09,62.05,0,2.14,4.28,0,0,555.22,1.07,0,0,0,0,0
21Day,6.69,2.68,8.03,0,0,0,0,1.34,1.34,1.34,2.68,0,0,1.34,0,17.4,25.43,1.34,0,0,5.35,0,352.03,2.68,4.02,0,0,0,1.34
3Month,0,0.96,0,1.28,0.32,3.84,0.96,0,2.24,0.32,0.64,2.88,0.32,0.32,3.2,0,0,0.96,0.64,0,0,1.92,4.48,0,0,0.96,0.32,106.22,0
22Month,0,0,0,0,0.55,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0.55,0,0.55,0,0,0
