stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,3.21,62.05,0,8.56,0,0,4.28,3.21,1.07,0,0
21Day,0,0,2.68,80.31,0,6.69,0,2.68,9.37,1.34,0,2.68,0
3Month,0,0.32,0.32,1.28,0.32,0,0.32,0,0.32,0,0.32,0,0
22Month,0.55,0,0,0,0,0,0,0,0,0,0,0,1.64
