stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Oocyte,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0,1.07,0,0,1.07,0,19.26,0,4.28,3.21,2.14
21Day,1.34,5.35,1.34,0,6.69,1.34,0,0,1.34,2.68,28.11
22Month,0,0,0,1.09,0,0,0,0.55,0,0,0
