stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,2.14,0,0,0,4.28,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0
3Month,0.32,0.96,2.56,1.6,1.6,0.64,0,0,0.96,0,6.08,0,0,0,0,0.32,0.64
22Month,0,0.55,0,3.28,2.73,3.28,0.55,0.55,2.19,0.55,2.73,0,0,0.55,0,0,0
