stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,147.11,89.9,0,0,0,0,0,0,0,0,0,24.52,0,0,0
72hpf,8.56,12.84,0,7.49,6.42,8.56,0,0,0,0,0,0,0,0,0,20.33,12.84,2.14,32.09,0,1.07,0,1346.87,66.33,0,5.35,0,23.54,0,0,10.7,44.93,68.47,171.17,0,0,0
21Day,2.68,10.71,0,13.39,5.35,12.05,0,1.34,0,0,0,1.34,0,6.69,0,1.34,8.03,4.02,42.83,0,21.42,0,522.03,12.05,2.68,12.05,0,17.4,10.71,0,10.71,29.45,144.56,33.46,0,0,10.71
3Month,0.32,10.56,3.2,16,1.28,0,0,0,3.2,4.48,0,8,3.52,0.32,0.32,0.32,1.92,5.44,51.51,27.84,1.92,0.96,34.87,1.6,6.08,45.75,0,0,1.6,21.76,0.96,0.96,0,4.48,7.04,1.92,36.79
22Month,0,7.65,3.28,10.39,0.55,0,0.55,0,5.47,2.73,2.19,21.32,0.55,1.09,1.09,0,0,2.19,51.93,1.64,1.09,0,16.95,0,5.47,36.08,2.73,0.55,1.09,32.25,6.56,3.83,0,4.37,1.09,0,13.67
