stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,16.05,0,6.42,38.51,12.84,12.84,0,0,2.14,0,1.07,13.91,1.07,810.9,1.07,145.49,193.63,0,1.07,22.47,0,0,14.98,7.49,0,1.07,0,0
21Day,0,0,2.68,24.09,0,14.72,4.02,0,24.09,6.69,0,1.34,54.88,2.68,799.1,4.02,77.63,87,4.02,0,10.71,8.03,0,5.35,2.68,4.02,1.34,0,2.68
3Month,0,0,0,0.64,0,0,0,0,0.32,0,0.32,0,0.32,0,6.4,0.32,0,0,0,0,0,0.32,0.32,0,0,0,0,0.32,0.32
22Month,0,0,0,0,0,0,0,0.55,6.56,0,0.55,0,0,1.09,4.92,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
