stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,4.09,0,0,12.26,0,0
72hpf,0,0,1.07,2.14,1.07,56.7,11.77,1.07,4.28
21Day,1.34,0,1.34,9.37,0,28.11,4.02,0,0
22Month,0.55,1.09,0,1.09,0,0,0,0,0
