stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,85.81,36.78,294.22,4.09,8.17,0,8.17,12.26,0,28.6,0,0,4.09,0,20.43,110.33,69.47,347.34,0,0,4.09,93.99,2852.31,4.09,0,61.3,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,2.14,2.14,9.63,0,2.14,1.07,0,0,0,0,0,0,8.56,21.4,1.07,29.95,1.07,0,0,96.28,113.4,0,0,20.33,0,0,6.42,0,0,1.07,0,0,0
21Day,8.03,0,20.08,0,84.33,0,21.42,1.34,0,0,1.34,2.68,6.69,0,4.02,8.03,5.35,10.71,0,1.34,0,14.72,40.16,0,0,1.34,1.34,0,6.69,1.34,1.34,0,0,0,2.68
3Month,0.64,0,7.36,0,0,0.64,1.28,4.8,0,0,33.59,5.76,0.64,4.48,0,2.56,1.92,2.24,0,0.64,0.32,0.32,0,0.32,0,0,0.64,7.04,0,0,0,0,1.28,4.8,4.16
22Month,0,0,2.19,0,0,0,0,10.93,1.64,0,82.54,2.73,4.37,8.75,0,0,10.93,1.09,6.01,0,0,0,0,0,0.55,0,0,3.28,0,0,0,0,0,0,0
