stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,44.95,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,13.91,0,0,0,0,0,1.07,0,0,0,0,57.77,0,0,0,0,0,0,6.42,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0
21Day,2.68,0,0,107.08,2.68,0,0,0,0,0,0,5.35,1.34,8.03,168.66,12.05,8.03,0,0,1.34,0,8.03,5.35,0,0,6.69,1.34,0,1.34,1.34,0,0,0,1.34
3Month,0,0,0.32,92.47,0,0.32,0.32,1.28,0,27.84,3.52,0.32,2.88,3.2,9.92,64.31,2.56,0.96,0.32,1.92,1.6,4.48,0,0.64,0,0.32,0.64,11.2,0,0,0,0.64,0.96,2.88
22Month,0.55,1.09,1.64,9.84,0,1.09,0,0.55,0.55,64.51,0.55,0,3.83,0,1.64,2.19,1.09,0,1.09,0.55,0,0.55,0,0.55,2.73,0,0,6.01,0,0,0.55,0,0.55,0
