stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Smooth_muscle_cell,T_cell
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,0.96,0,0.32,0.96,0,1.28,0.32,0.64,0,0,0,0.32,0,0,0,0.64
22Month,2.73,0.55,0.55,1.09,0.55,8.75,0.55,0.55,2.73,0,1.09,2.19,0.55,1.09,0,0.55,0.55,0.55,0
