stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,12.26,706.95,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,1.07,3.21,0,4.28,0,0,0,209.68,13.91,8.56,0,2.14,0,0,4.28,0,0,0,0,0
21Day,0,0,1.34,5.35,1.34,9.37,0,1.34,0,0,0,1.34,0,0,2.68,0,1.34,1.34,2.68,0,0,0,136.53,10.71,16.06,4.02,1.34,4.02,1.34,2.68,0,1.34,0,0,0
3Month,0.32,0.32,0.96,11.2,0.32,0,0.32,0.32,0.64,1.92,0.96,9.92,1.6,0.32,6.08,0.64,2.56,2.56,3.52,0.32,0.96,0.32,4.48,0,34.55,0.64,0,1.92,20.16,0.64,0,0,0.96,268.44,1.28
22Month,0,1.09,1.64,4.37,0,0,0.55,0,1.09,1.64,2.19,22.41,2.19,0,5.47,0.55,0.55,1.09,3.28,0,0.55,0,8.75,0,43.73,1.09,0,0,3.28,0,0.55,0,0,0,1.09
