stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,2.14,0,2.14,2.14,4.28,0,0,0,0,0,0,0,0,0,0,0,4.28,2.14,6.42,0,1.07,0,0,611.92,17.12,1.07,12.84,6.42,0,0,5.35,0,0,0,0,0
21Day,4.02,0,2.68,13.39,2.68,8.03,0,2.68,0,0,1.34,0,1.34,0,2.68,2.68,0,4.02,1.34,28.11,0,0,0,0,331.96,12.05,2.68,13.39,8.03,6.69,1.34,2.68,5.35,6.69,1.34,0,1.34
3Month,0,0.32,0,3.52,0,0,0.32,0,7.36,0,0.32,0,6.08,0.96,0.32,2.24,1.6,0.32,0.96,14.72,0.96,0,0.32,0.32,2.56,0.96,0.64,0,0,0.64,5.12,0.96,0,0.32,0.96,0.32,1.28
22Month,0,0.55,0.55,3.83,0,0,0.55,0,4.92,0.55,1.64,1.09,20.23,1.64,1.64,1.09,0,0.55,0.55,28.97,0.55,0,0,0,5.47,0,6.56,2.19,0,0,8.2,1.64,0,0,0.55,0,0
