stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,6.42,52.42,1.07,1.07,0,2.14,2.14,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,2.68,1.34,12.05,1.34,0,0,1.34,10.71,0,0,1.34,0,0,2.68
3Month,0,0,4.8,0.32,0.32,0,0.32,0.32,0.96,1.28,1.6,3.2,1.92,0.96,0,0,1.28,0.32,0.32,0,0,0.32,17.6,0,0,0,0,5.12,2.88
22Month,0,1.64,3.83,0.55,0.55,4.92,3.83,25.15,3.28,1.64,0.55,3.28,2.19,0,0.55,0,0,0,0,0,292.46,0,24.05,1.09,0.55,0,0.55,0,4.37
