stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,5.35,4.28,0,0,0,0,0,0,0,0,1.07,3.21,0,5.35,0,0,449.31,9.63,11.77,17.12,1.07,0,2.14,0,1.07,0,0,0
21Day,4.02,4.02,0,1.34,1.34,0,0,0,1.34,0,1.34,0,0,1.34,2.68,8.03,0,1.34,144.56,1.34,14.72,34.8,5.35,0,4.02,2.68,0,0,0,1.34
3Month,0,0.96,0,0,0,3.84,0.96,1.28,4.16,1.28,0.32,1.28,0,1.28,1.6,12.8,0,0.96,1.92,0,8.32,0.32,0.32,44.79,0.32,0,0.32,0.32,85.75,0.96
22Month,0,0.55,0,0,0,0,0.55,0.55,13.67,0.55,0,0,0,0,0,13.12,1.09,0,3.28,0,18.59,0,0,8.75,0,0,0,0,0,0
