stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,5.35,0,0,0,0,0,0,0,1.34,0
3Month,0.64,0,7.68,0.64,1.92,0,0.32,11.2,0.64,0.32,0.32,0.32,0,0.32,0,0,0.32
22Month,0,0.55,18.04,2.73,0.55,0.55,0.55,7.11,0.55,0,0,0,1.09,0,0.55,0,0
