stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,49.04,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,2.14,0,4.28,0,0,35.3,1.07,0,0,0,14.98,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,0,36.14,0,0,1.34,1.34,8.03,0
3Month,0,0.64,0,0.64,0.32,0.64,0.32,0.64,0.32,0.64,0,0.32,0.32,3.84,0,0,0,0,0.32,3.52
22Month,0,0,0,0,0,4.92,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0
