stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,49.04,0,0,0,12.26,294.22,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,9.63,0,0,4.28,9.63,3.21,1.07,0,0,0,0,1.07,0,5.35,8.56,0,16.05,0,0,0,328.43,55.63,0,0,0,5.35,2.14,0,8.56,0,0,0,0,0
21Day,4.02,1.34,1.34,16.06,1.34,1.34,2.68,0,1.34,0,0,2.68,0,0,5.35,0,45.51,0,2.68,0,41.49,18.74,0,1.34,0,1.34,1.34,0,4.02,1.34,0,0,0,0
3Month,0.32,1.6,0.32,106.54,0,0,2.88,0.32,4.16,9.92,4.8,0.64,5.76,0,38.07,3.52,11.52,0.32,1.28,1.28,1.92,0.96,0.96,0.64,0,0.32,2.24,5.44,0,0,0,0.96,3.52,1.92
22Month,0,1.09,0,21.32,0,0,4.92,0,7.11,25.15,1.09,2.73,2.19,0,4.92,1.64,5.47,0,1.64,0,0.55,0,0.55,0.55,0.55,0.55,0,1.64,0.55,0,0,1.09,0,1.64
