stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,61.3,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,1.07,9.63,20.33,0,0,0,0,0,0,0,0,0,0
21Day,4.02,1.34,5.35,0,1.34,0,0,1.34,0,0,49.53,0,0,0,26.77,5.35,0,2.68,6.69,0,4.02,0,2.68,2.68,2.68,1.34,0,0,12.05
3Month,0,0,1.28,0.32,0,0.32,0,0,2.88,0.32,0.32,2.24,0.64,0.64,34.55,2.24,0,0,0,0,0,0.32,42.55,0,0,0,0.64,6.4,2.56
22Month,0.55,0.55,0,0,0,0,0.55,0.55,4.92,0,0.55,0,0,0,14.21,1.09,0,0,0,0.55,0,0,2.19,0,0,0,0,0,0.55
