stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,9.63,2.14,0,0,0,0,0,0,0,1.07,0,0,8.56,0,3.21,0,0,0,0,13.91,10.7,0,0,0,2.14,1.07,0,1.07,0,0,0,0
21Day,0,0,5.35,13.39,1.34,0,0,0,0,0,0,0,1.34,0,1.34,5.35,1.34,5.35,0,0,0,0,4.02,1.34,0,0,0,1.34,1.34,1.34,0,0,0,0,0
3Month,3.2,1.6,237.72,3.2,0,1.28,0.64,6.08,6.08,0,47.03,8.64,10.56,15.04,31.99,8.64,11.84,10.24,2.56,0.64,3.52,24,6.4,1.6,3.2,0.96,0,1.28,8,203.49,2.24,2.24,0.64,804.99,6.72
22Month,5.47,1.64,150.33,2.19,0,0,0.55,0.55,9.29,2.19,179.85,6.56,33.89,14.76,4.37,3.83,9.84,13.12,0.55,8.75,1.64,2.19,2.19,1.09,1.09,2.73,1.64,0,1.09,36.63,3.28,0,1.09,6.56,4.92
