stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,36.78,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,3.21,0,2.14,0,0,0,1.07,1.07,0,1.07,55.63,0,0,2.14,1.07,0,1.07,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,0,0,0,1.34,29.45,1.34,0,29.45,2.68,0,2.68,1.34,1.34,1.34
3Month,0,0.32,0,0,0.32,0.32,0,0.96,0.64,0,0.32,0.32,1.28,1.92,0,0.32,18.24,0,11.2,0,0,0,2.88
22Month,0.55,0.55,0,0,0,2.19,3.28,1.09,0.55,0,0,2.73,1.09,4.92,0,0,20.23,0,3.83,0,0,0,0
