stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,8.17,0,4.09,0,0,0,0,0,0,0,0,8.17,12.26,8.17,0,0,12.26,81.73,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,3.21,2.14,0,0,0,0,0,0,0,1.07,6.42,0,5.35,0,0,11.77,14.98,0,0,4.28,2.14,0,3.21,0,0,0,0,0
21Day,8.03,4.02,22.76,1.34,5.35,5.35,0,0,0,0,6.69,0,0,8.03,6.69,13.39,1.34,0,8.03,1.34,0,2.68,10.71,1.34,0,4.02,1.34,1.34,0,0,1.34
3Month,0,1.28,5.44,0.32,0,0,1.28,1.92,3.52,1.92,0,3.2,0.64,1.92,0.32,1.6,0.32,0.64,0,0,0.32,0,0,0,4.8,0,0,0,0.64,2.24,1.6
22Month,0,0.55,2.73,0,0,0,0,1.64,6.01,0.55,1.09,0,0,0,1.09,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0.55
