stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,5.76,25.6,0.96,0.64,33.91,3.2,6.72,14.4,0.32,117.74,0.32,6.72,8.32,0.32,0.64,6.72,0.64,0.96,1.6,0.32,0,1.28,0.96,3.2
22Month,3.83,8.2,0.55,0,15.31,5.47,8.75,2.19,1.64,73.8,0.55,0.55,6.56,1.09,0,2.73,0,1.09,0,0,0.55,0,0,3.28
