stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.96,0.32,0,0.64,0.32,10.24,0.32,0.64,0.32,0,0,2.24,0.32
22Month,0,0,0.55,0.55,0,0,0,0,0,0,0.55,0,0
