stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,1.07,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,2.68,0,0,0,4.02,0,0,0,0,0
3Month,0.32,0,0.64,13.12,0.32,0,0.96,0.64,0,1.92,0.32,0.32,1.28,0.64,5.76,1.28,8,1.28,0,0.32,0,0.32,0,0,0.32,11.2,0,1.6,0.32
22Month,0,0.55,0.55,4.37,0,0.55,1.09,5.47,5.47,26.24,0.55,0,2.19,0,1.09,2.19,24.6,0,0.55,1.09,0,0.55,115.89,0,0,31.16,0.55,0,0
