stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,0,0,0,0,0,0
21Day,1.34,1.34,2.68,9.37,0,6.69,0,0,0,0,0,1.34,0,1.34,187.39,2.68,0,0,5.35,0,1.34,2.68,0,13.39,5.35,0,0,0,5.35,4.02,0,1.34,0,0,2.68
3Month,0.96,1.92,0,16.96,0.32,0,4.48,0.64,9.28,2.24,0,38.07,2.88,0,818.75,1.28,3.84,2.56,9.92,1.92,0,1.92,0.64,0.32,0.32,0.64,0.64,0,0,4.48,5.44,0,0.64,4.16,4.16
22Month,0,3.83,1.09,6.01,0,0,0,0,22.96,4.37,0.55,83.64,2.19,0,1126.11,0.55,1.09,2.73,3.28,0,5.47,2.73,0,0.55,0,1.64,0.55,0.55,0.55,0.55,7.11,0,0.55,0,1.09
