stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,1.07,0,0,0,0,1.07,0
3Month,0,0,0,0,3.2,0,0.32,1.6,0.32,0,1.92,0,0,0,0,0,0,0,0,0.32,0,0,0
22Month,2.73,1.09,4.92,0.55,11.48,4.92,26.79,1.64,1.09,0.55,2.19,2.73,1.64,1.09,0.55,0.55,0,1.09,305.58,0.55,0.55,0,0.55
