stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,245.18,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,18.19,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0
21Day,4.02,0,0,1.34,6.69,0,0,0,21.42,0,0,21.42,22.76,0,0,2.68,60.23,8.03,0,0,0,0,29.45,2.68,0,0,5.35,0,0,1.34,0,0,4.02
3Month,0.32,0.96,0.32,4.8,0,0,0.32,0.64,75.51,0,6.72,85.75,1.6,2.56,0.64,2.88,57.91,3.84,0,0,0,0.32,0,0,0.96,0,0.96,1.6,0,0,0,0.64,2.88
22Month,0.55,1.09,0,2.73,0,0.55,0,0.55,122.45,2.19,27.88,47.01,3.28,1.09,0,0,69.97,2.19,0.55,1.64,0.55,0,0,0,2.73,1.09,0,0,1.09,0.55,1.09,0,1.64
