stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,40.86,0,0,0,0,0,0,0,0,0,0,0,12.26,0,77.64,0,0,0,0,28.6,171.63,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,4.28,0,21.4,4.28,0,0,0,0,0,0,0,0,0,2.14,14.98,0,53.49,0,0,4.28,0,13.91,23.54,0,0,39.58,0,0,4.28,0,2.14,0,0,0
21Day,4.02,0,1.34,21.42,4.02,2.68,0,1.34,0,0,1.34,1.34,0,0,2.68,5.35,0,58.9,0,0,4.02,0,4.02,10.71,0,0,32.12,1.34,1.34,1.34,1.34,1.34,0,0,0
3Month,0.32,14.4,0,35.51,0.64,0,0,0,1.28,1.28,0,12.48,1.92,11.84,0.32,5.12,0.96,23.68,3.2,0,1.6,0.96,0.96,0,1.28,0.64,1.92,1.6,4.8,0.96,0,1.28,103.34,1.92,0.32
22Month,0.55,7.11,0,11.48,0,0,0.55,0,0,1.09,1.09,16.95,0,2.19,1.09,0.55,1.64,3.83,0,0.55,1.09,0,0,0.55,1.09,0,0.55,0,0.55,1.64,0,0,6.56,0,0.55
