stage,Epithelial_cell,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,5.35,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0
3Month,0.32,0.32,0,0.32,0,2.56,5.44,0,0,0.32
22Month,0,0,2.73,0,0.55,0,0,0,0,0
