stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,1.07,0,3.21,0
3Month,0,0,0,0,0.96,0.64
22Month,0.55,1.64,0,0.55,0,0
