stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,5.35,1.34,0,0,0,0,0,0,0,0
3Month,0,0.96,12.48,0.32,0.32,5.44,0.32,21.76,1.92,0,29.76,1.92,1.28,3.2,1.28,1.6,1.6,0,0.64,0.96,1.92,2.24
22Month,0,2.19,3.83,0,0.55,3.28,3.83,36.08,0.55,0.55,34.44,0,0,2.19,0.55,0,0,0,0.55,0,0.55,0.55
