stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,24.52,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,4.28,0,2.14,0,259.96,9.63,0,1.07,4.28,0,2.14,0,0,0
21Day,0,0,1.34,1.34,0,1.34,0,0,0,0,0,0,1.34,1.34,1.34,0,62.91,6.69,0,1.34,1.34,0,2.68,1.34,2.68,0
3Month,0,0,2.88,0,0,0,0.32,0,1.92,0,0,1.92,0.96,0,0.96,0,1.6,0,0.32,0,0,2.88,0,0,0,0.64
22Month,0,0.55,1.64,0,0.55,0,2.19,0.55,17.49,1.09,0.55,0.55,0,1.09,3.28,1.09,0.55,0,1.09,0,0,1.09,0,0,0,0
