stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,3.21,5.35,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,2.68,0,0,2.68,0,0,14.72,0,1.34,25.43,0,0,2.68,0,1.34,1.34,0,6.69,5.35,0,1.34,2.68,8.03,0,1.34,1.34,2.68,0,0,1.34
3Month,0,0.64,2.88,10.24,1.92,0,2.56,1.28,420.41,3.84,0,64.31,2.56,3.84,2.24,0.64,0.32,1.28,4.48,0.32,0,0.96,0.64,0,6.4,2.88,0.32,0,0,0.64,0.64,0.64
22Month,0.55,2.19,1.64,6.56,2.73,0,1.09,2.73,668.56,0.55,0.55,36.63,2.19,0,4.37,0,12.57,1.09,0.55,1.09,0,0,1.09,0,1.09,0.55,1.64,0,0,0,0,0
