stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,1.34,0,8.03,0,0,0,0,0
3Month,0,0.32,0,0,1.28,1.28,0.64,0.32,0,0.32,0.32,1.92,13.76,0,0,0,0.32,0.32
22Month,0.55,1.09,0.55,0.55,5.47,0.55,0,0.55,0,0,0,0,17.49,0,1.09,0.55,0,0
