stage,Hatching_gland,Hepatocyte,Neural_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,24.52,0,0,0,0,0
72hpf,0,0,2.14,0,1.07,3.21
21Day,0,0,0,1.34,5.35,20.08
3Month,0,0.32,0,0,0,0
