stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,6.69,1.34,0,0,0,0,0,0
3Month,0.32,2.88,0,0.32,1.6,0.32,7.04,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,6.4,0.32,8.64,0.64
22Month,0,0,0.55,0,8.2,0,7.65,0,0.55,0,0,0,0,0,0,0,2.19,0,0,0
