stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,4.02,0,1.34,0,0,0,1.34,0,1.34,0,0,0,0,0
3Month,0.96,0.64,0,0.32,3.84,0,0,0,0.32,0,0,0.64,0.32,0.64
22Month,2.19,0,0,0.55,16.4,1.09,0,0.55,1.09,0,0.55,0,0,0.55
