stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0
3Month,0.32,8,2.24,0.64,0,1.6,0.32,0.32,0.64,0.64,1.28,0.32,0.64,0,0,0.32,0.32,1.92,0.64,2.88,0.32
22Month,0,2.73,1.64,0,0.55,2.73,0,0,9.29,0,1.09,2.19,0.55,0.55,0.55,0.55,0,4.92,0,0,0.55
